Query	Dates range	Impressions	Clicks	CTR %	Avg. position	Avg. click position	Impressions for 1st position	Clicks from pos. 1	CTR % for pos. 1	Impressions for pos. 2-3	Clicks from pos. 2-3	CTR % for pos. 2-3	Avg. impression position for pos. 2-3	Avg. click position from pos. 2-3	Impressions for pos. 4-10	Clicks from pos. 4-10	CTR % for pos. 4-10	Avg. impression position for pos. 4-10	Avg. click position from pos. 4-10	Impressions for pos. 11-50	Clicks from pos. 11-50	CTR % for pos. 11-50	Avg. impression position for pos. 11-50	Avg. click position from pos. 11-50
мишка знает	2026-05-27 - 2026-06-27	10	3	30	1,3	1	7	3	42,85714286	3	0	0	2		0	0				0	0			
мишка знает ии репетитор	2026-05-27 - 2026-06-27	8	5	62,5	1,625	1	4	5	125	4	0	0	2,25		0	0				0	0			
mishkaznaet	2026-05-27 - 2026-06-27	3	4	133,3333333	1	1	3	4	133,3333333	0	0				0	0				0	0			
подготовка к огэ по математике с нуля umbrait	2026-05-27 - 2026-06-27	3	0	0	4,333333333		0	0		1	0	0	3		2	0	0	5		0	0			
подготовка к огэ русский математика umbrait.ru	2026-05-27 - 2026-06-27	3	0	0	5,333333333		0	0		0	0				3	0	0	5,333333333		0	0			
ии-репетитор для 1–11 классов	2026-05-27 - 2026-06-27	2	1	50	8	9	0	0		0	0				2	1	50	8	9	0	0			
онлайн репетитор по математике 5 umbrait	2026-05-27 - 2026-06-27	2	0	0	5,5		0	0		0	0				2	0	0	5,5		0	0			
заблуждаюсь мишки заблуждаюсь	2026-05-27 - 2026-06-27	2	0	0	7,5		0	0		0	0				2	0	0	7,5		0	0			
программа для 5 мишка	2026-05-27 - 2026-06-27	2	0	0	1,5		1	0	0	1	0	0	2		0	0				0	0			
репетитор по математике 5 класс онлайн найти	2026-05-27 - 2026-06-27	2	0	0	41,5		0	0		0	0				0	0				2	0	0	41,5	
мишка знает ли репетитор	2026-05-27 - 2026-06-27	2	0	0	2,5		0	0		2	0	0	2,5		0	0				0	0			
школа мишка репетиторы	2026-05-27 - 2026-06-27	2	0	0	1,5		1	0	0	1	0	0	2		0	0				0	0			
подготовка к огэ по математике с нуля umbrait.ru	2026-05-27 - 2026-06-27	2	0	0	6		0	0		0	0				2	0	0	6		0	0			
мишка. знает. мишка плавал	2026-05-27 - 2026-06-27	1	0	0	3		0	0		1	0	0	3		0	0				0	0			
лаврова ольга николаевна химки сходня репетитор по математике	2026-05-27 - 2026-06-27	1	0	0	22		0	0		0	0				0	0				1	0	0	22	
академика мишка репетитор по математике	2026-05-27 - 2026-06-27	1	1	100	1	1	1	1	100	0	0				0	0				0	0			
интерактивный репетитор по русскому языку с ии	2026-05-27 - 2026-06-27	1	0	0	10		0	0		0	0				1	0	0	10		0	0			
синтаксический разбор предложения лодки отплыли от корабля и рассеялись по заливу	2026-05-27 - 2026-06-27	1	0	0	7		0	0		0	0				1	0	0	7		0	0			
репетитор по математике онлайн подготовка umbrait	2026-05-27 - 2026-06-27	1	0	0	11		0	0		0	0				0	0				1	0	0	11	
онлайн репетитор по математике 5 umbrait.ru	2026-05-27 - 2026-06-27	1	0	0	6		0	0		0	0				1	0	0	6		0	0			
подскажите пожалуйста программкирешалки бесплатные по физике спасибо	2026-05-27 - 2026-06-27	1	0	0	6		0	0		0	0				1	0	0	6		0	0			
репетитор по математике онлайн 11 umbrait	2026-05-27 - 2026-06-27	1	0	0	9		0	0		0	0				1	0	0	9		0	0			
репетитор ии сочинение егэ	2026-05-27 - 2026-06-27	1	0	0	10		0	0		0	0				1	0	0	10		0	0			
ии-репетитор не входит в ваш тариф.получайте подсказки, проверки, объяснения и практические задания прямо на своей доске.обновите тариф, чтобы добавить места ии-репетитора для вашей команды и сохранить поддержку обучения на каждой доске.обновить до ии-репетиторапосмотреть демо ии-репетиторадемо ии-репетитора	2026-05-27 - 2026-06-27	1	0	0	10		0	0		0	0				1	0	0	10		0	0			
академия.мишка войти	2026-05-27 - 2026-06-27	1	0	0	5		0	0		0	0				1	0	0	5		0	0			
ошибаюсь мишки ошибаюсь	2026-05-27 - 2026-06-27	1	0	0	4		0	0		0	0				1	0	0	4		0	0			
русский язык кто сможет помочь в разборе предложений	2026-05-27 - 2026-06-27	1	0	0	5		0	0		0	0				1	0	0	5		0	0			
академия репетиторов мишка	2026-05-27 - 2026-06-27	1	1	100	2	2	0	0		1	1	100	2	2	0	0				0	0			
репетитор по математике онлайн подготовка к огэ бесплатно	2026-05-27 - 2026-06-27	1	0	0	8		0	0		0	0				1	0	0	8		0	0			
ии репетитор который ругается	2026-05-27 - 2026-06-27	1	0	0	6		0	0		0	0				1	0	0	6		0	0			
академия мишка войти	2026-05-27 - 2026-06-27	1	0	0	3		0	0		1	0	0	3		0	0				0	0			
как объяснить дроби на пицце	2026-05-27 - 2026-06-27	1	0	0	8		0	0		0	0				1	0	0	8		0	0			
ии мишка мишай мишек	2026-05-27 - 2026-06-27	1	0	0	5		0	0		0	0				1	0	0	5		0	0			
репетитор по математике 5 класс онлайн umbrait.ru	2026-05-27 - 2026-06-27	1	0	0	7		0	0		0	0				1	0	0	7		0	0			
онлайн репетитор по математике 5 класс	2026-05-27 - 2026-06-27	1	0	0	44		0	0		0	0				0	0				1	0	0	44	
бесплатный онлайн репетитор по математике	2026-05-27 - 2026-06-27	1	0	0	1		1	0	0	0	0				0	0				0	0			
«персональный репетитор» ии	2026-05-27 - 2026-06-27	1	0	0	9		0	0		0	0				1	0	0	9		0	0			
репетитор по математике онлайн бесплатно 10 11 класс	2026-05-27 - 2026-06-27	1	0	0	5		0	0		0	0				1	0	0	5		0	0			
сделайте объяснение математики пожалуйста скучно). делать барнаул	2026-05-27 - 2026-06-27	1	0	0	4		0	0		0	0				1	0	0	4		0	0			
репетитор по математике в пос. троицкое анивский район сахалинская область	2026-05-27 - 2026-06-27	1	0	0	9		0	0		0	0				1	0	0	9		0	0			
репетитор по математике 5 класс онлайн umbrait	2026-05-27 - 2026-06-27	1	0	0	8		0	0		0	0				1	0	0	8		0	0			
онлайн обучение мишка отзывы	2026-05-27 - 2026-06-27	1	0	0	3		0	0		1	0	0	3		0	0				0	0			
подготовка к егэ математика русский физика umbrait	2026-05-27 - 2026-06-27	1	0	0	8		0	0		0	0				1	0	0	8		0	0			
репетитор по математике академия мишка	2026-05-27 - 2026-06-27	1	0	0	2		0	0		1	0	0	2		0	0				0	0			
репетитор по русскому языку 5 класс онлайн	2026-05-27 - 2026-06-27	1	0	0	15		0	0		0	0				0	0				1	0	0	15	
академика мишка репетитора	2026-05-27 - 2026-06-27	1	0	0	3		0	0		1	0	0	3		0	0				0	0			
репетитор по математике онлайн 5 класс бесплатно	2026-05-27 - 2026-06-27	1	0	0	1		1	0	0	0	0				0	0				0	0			
школьный экзамен мишка	2026-05-27 - 2026-06-27	1	0	0	2		0	0		1	0	0	2		0	0				0	0			
